Procedure,Image,Section Name,Section Size,Offset,Calls,Pid,Pid Win,Size
unnamedImageEntryPoint,ncryptsslp.dll,.text,84790,14060,2,8072,8072,6556
GetSChannelInterface,ncryptsslp.dll,.text,84790,a3d0,1,8072,8072,40080
unnamedImageEntryPoint,WLDAP32.dll,.text,326840,10d0,3,8072,8072,3904
I_CryptNetEnumUrlCacheEntry,cryptnet.dll,.text,188032,12330,2,8072,8072,12128
I_CryptNetGetConnectivity,cryptnet.dll,.text,188032,cb40,1,8072,8072,13360
CryptGetObjectUrl,cryptnet.dll,.text,188032,c7b0,16,8072,8072,912
CryptRetrieveObjectByUrlW,cryptnet.dll,.text,188032,62a0,2,8072,8072,25872
CertDllVerifyRevocation,cryptnet.dll,.text,188032,2220,2,8072,8072,16512
unnamedImageEntryPoint,cryptnet.dll,.text,188032,1070,3,8072,8072,4528
unnamedImageEntryPoint,NTASN1.dll,.text,195975,21310,2,8072,8072,848
Ordinal_5,NTASN1.dll,.text,195975,1f2a0,1,8072,8072,752
SslOpenProvider,ncrypt.dll,.text,103680,3710,1,8072,8072,896
SslLookupCipherLengths,ncrypt.dll,.text,103680,2b70,2,8072,8072,256
SslImportKey,ncrypt.dll,.text,103680,1f00,2,8072,8072,288
unnamedImageEntryPoint,ncrypt.dll,.text,103680,16c0,2,8072,8072,1840
SslLookupCipherSuiteInfo,ncrypt.dll,.text,103680,1600,4,8072,8072,192
SslIncrementProviderReferenceCount,ncrypt.dll,.text,103680,15b0,1,8072,8072,80
SslFreeObject,ncrypt.dll,.text,103680,1440,1,8072,8072,304
SslDecryptPacket,ncrypt.dll,.text,103680,1310,1,8072,8072,304
SslEncryptPacket,ncrypt.dll,.text,103680,11d0,2,8072,8072,320
RegisterGPNotificationInternalWorker,gpapi.dll,.text,106368,1500,2,8072,8072,2512
unnamedImageEntryPoint,gpapi.dll,.text,106368,10a0,3,8072,8072,1120
BCryptImportKey,bcrypt.dll,.text,126044,5b70,2,8072,8072,416
BCryptVerifySignature,bcrypt.dll,.text,126044,4170,5,8072,8072,2000
BCryptImportKeyPair,bcrypt.dll,.text,126044,3f90,7,8072,8072,480
BCryptCloseAlgorithmProvider,bcrypt.dll,.text,126044,3c80,10,8072,8072,784
BCryptOpenAlgorithmProvider,bcrypt.dll,.text,126044,34a0,13,8072,8072,2016
BCryptFreeBuffer,bcrypt.dll,.text,126044,3450,14,8072,8072,80
