Procedure,Image,Section Name,Section Size,Offset,Calls,Pid,Pid Win,Size
BCryptResolveProviders,bcrypt.dll,.text,126044,2da0,15,8072,8072,1712
BCryptEncrypt,bcrypt.dll,.text,126044,2840,2,8072,8072,320
BCryptDecrypt,bcrypt.dll,.text,126044,2700,1,8072,8072,320
BCryptGenRandom,bcrypt.dll,.text,126044,2520,2,8072,8072,480
BCryptRegisterConfigChangeNotify,bcrypt.dll,.text,126044,1fd0,1,8072,8072,1360
BCryptUnregisterConfigChangeNotify,bcrypt.dll,.text,126044,1e90,1,8072,8072,320
unnamedImageEntryPoint,bcrypt.dll,.text,126044,1bc0,2,8072,8072,720
BCryptDestroyKey,bcrypt.dll,.text,126044,17e0,7,8072,8072,992
BCryptGetProperty,bcrypt.dll,.text,126044,1620,13,8072,8072,448
BCryptCreateHash,bcrypt.dll,.text,126044,1490,12,8072,8072,400
BCryptFinishHash,bcrypt.dll,.text,126044,13d0,11,8072,8072,192
BCryptHashData,bcrypt.dll,.text,126044,1330,15,8072,8072,160
BCryptDestroyHash,bcrypt.dll,.text,126044,1250,11,8072,8072,224
.text,bcrypt.dll,.text,126044,1000,56,8072,8072,592
CPVerifySignature,rsaenh.dll,.text,163324,3c50,1,8072,8072,768
CPGetKeyParam,rsaenh.dll,.text,163324,3880,2,8072,8072,432
CPImportKey,rsaenh.dll,.text,163324,3260,3,8072,8072,1568
CPDestroyKey,rsaenh.dll,.text,163324,2ce0,3,8072,8072,1408
CPHashData,rsaenh.dll,.text,163324,2b00,1,8072,8072,480
CPCreateHash,rsaenh.dll,.text,163324,27d0,1,8072,8072,816
CPGetHashParam,rsaenh.dll,.text,163324,2630,1,8072,8072,416
CPDestroyHash,rsaenh.dll,.text,163324,24f0,1,8072,8072,320
CPAcquireContext,rsaenh.dll,.text,163324,1570,2,8072,8072,3968
unnamedImageEntryPoint,rsaenh.dll,.text,163324,1280,2,8072,8072,752
CPReleaseContext,rsaenh.dll,.text,163324,1080,1,8072,8072,512
CryptVerifySignatureA,CRYPTSP.dll,.text,99744,29b0,1,8072,8072,176
CryptGetKeyParam,CRYPTSP.dll,.text,99744,2430,2,8072,8072,544
CryptImportKey,CRYPTSP.dll,.text,99744,2230,3,8072,8072,512
CryptDestroyKey,CRYPTSP.dll,.text,99744,2140,3,8072,8072,240
CryptHashData,CRYPTSP.dll,.text,99744,1f00,1,8072,8072,272
CryptCreateHash,CRYPTSP.dll,.text,99744,1d30,1,8072,8072,464
CryptDestroyHash,CRYPTSP.dll,.text,99744,1c60,1,8072,8072,208
CryptAcquireContextA,CRYPTSP.dll,.text,99744,1310,2,8072,8072,1680
unnamedImageEntryPoint,CRYPTSP.dll,.text,99744,1220,2,8072,8072,240
CryptReleaseContext,CRYPTSP.dll,.text,99744,1150,1,8072,8072,208
CatalogCompactHashDatabase,WINTRUST.dll,.text,267528,f830,1,8072,8072,5600
unnamedImageEntryPoint,WINTRUST.dll,.text,267528,f640,2,8072,8072,496
HTTPSFinalProv,WINTRUST.dll,.text,267528,ade0,1,8072,8072,1280
HTTPSCertificateTrust,WINTRUST.dll,.text,267528,a7b0,1,8072,8072,1584
CryptCATStoreFromHandle,WINTRUST.dll,.text,267528,41d0,1,8072,8072,3104
WTHelperGetProvSignerFromChain,WINTRUST.dll,.text,267528,41a0,1,8072,8072,48
SoftpubInitialize,WINTRUST.dll,.text,267528,28d0,1,8072,8072,2816
SoftpubLoadSignature,WINTRUST.dll,.text,267528,24f0,1,8072,8072,992
SoftpubLoadMessage,WINTRUST.dll,.text,267528,2230,1,8072,8072,704
WinVerifyTrust,WINTRUST.dll,.text,267528,1050,2,8072,8072,4576
.text,WINTRUST.dll,.text,267528,1000,14,8072,8072,80
SpUserModeInitialize,schannel.DLL,.text,382356,1ace0,1,8072,8072,8960
unnamedImageEntryPoint,schannel.DLL,.text,382356,1a130,2,8072,8072,2992
unnamedImageEntryPoint,Comctl32.dll,.text,2130204,45a0,2,8072,8072,5072
.text,Comctl32.dll,.text,2130204,1000,4,8072,8072,80
unnamedImageEntryPoint,fwpuclnt.dll,.text,382020,20a0,2,8072,8072,3632
FwpmProcessNameResolutionEvent0,fwpuclnt.dll,.text,382020,1160,8,8072,8072,1760
NamespaceCallout,fwpuclnt.dll,.text,382020,1060,1,8072,8072,256
unnamedImageEntryPoint,rasadhlp.dll,.text,8476,1290,2,8072,8072,1296
WSAttemptAutodialName,rasadhlp.dll,.text,8476,1030,1,8072,8072,608
.text,rasadhlp.dll,.text,8476,1000,1,8072,8072,48
SysAllocStringLen,OLEAUT32.dll,.text,695356,20b0,2,8072,8072,224
SysFreeString,OLEAUT32.dll,.text,695356,1720,2,8072,8072,240
SysStringLen,OLEAUT32.dll,.text,695356,1560,2,8072,8072,240
unnamedImageEntryPoint,OLEAUT32.dll,.text,695356,1100,3,8072,8072,1120
DnsQueryConfig,DNSAPI.dll,.text,559548,1ac50,2,8072,8072,960
unnamedImageEntryPoint,DNSAPI.dll,.text,559548,1a360,2,8072,8072,2288
DnsQueryConfigAllocEx,DNSAPI.dll,.text,559548,19ad0,2,8072,8072,2192
Reg_GetValueEx,DNSAPI.dll,.text,559548,19650,8,8072,8072,1152
DnsGetProxyInformation,DNSAPI.dll,.text,559548,94e0,2,8072,8072,336
DnsFree,DNSAPI.dll,.text,559548,8c60,1,8072,8072,2176
DnsApiAlloc,DNSAPI.dll,.text,559548,8bd0,2,8072,8072,144
DnsApiFree,DNSAPI.dll,.text,559548,8a30,2,8072,8072,416
DnsQueryEx,DNSAPI.dll,.text,559548,4420,2,8072,8072,1824
Reg_ReadGlobalsEx,DNSAPI.dll,.text,559548,2b10,1,8072,8072,1168
DnsNameCompare_W,DNSAPI.dll,.text,559548,1060,10,8072,8072,128
.text,DNSAPI.dll,.text,559548,1000,108,8072,8072,96
DllRegisterServer,ole32.dll,.text,1405956,6040,1,8072,8072,3920
SetOleautModule,ole32.dll,.text,1405956,6030,1,8072,8072,16
unnamedImageEntryPoint,ole32.dll,.text,1405956,5190,3,8072,8072,704
Ordinal_108,urlmon.dll,.text,1095176,1e3a0,1,8072,8072,9168
Ordinal_407,urlmon.dll,.text,1095176,6d30,1,8072,8072,2800
CoInternetGetSecurityUrlEx,urlmon.dll,.text,1095176,57c0,1,8072,8072,4464
CoInternetCreateZoneManager,urlmon.dll,.text,1095176,2e40,1,8072,8072,144
Ordinal_404,urlmon.dll,.text,1095176,2e00,1,8072,8072,64
CoInternetIsFeatureEnabled,urlmon.dll,.text,1095176,2af0,2,8072,8072,496
CoInternetCreateSecurityManager,urlmon.dll,.text,1095176,2130,1,8072,8072,1120
unnamedImageEntryPoint,urlmon.dll,.text,1095176,1240,3,8072,8072,1200
NsiConnectToServer,WINNSI.DLL,.text,15840,1900,1,8072,8072,192
NsiRpcRegisterChangeNotificationEx,WINNSI.DLL,.text,15840,1480,6,8072,8072,1152
NsiRpcRegisterChangeNotification,WINNSI.DLL,.text,15840,1410,6,8072,8072,112
NsiDisconnectFromServer,WINNSI.DLL,.text,15840,13c0,1,8072,8072,80
unnamedImageEntryPoint,WINNSI.DLL,.text,15840,10e0,2,8072,8072,736
NotifyIpInterfaceChange,IPHLPAPI.DLL,.text,128452,9210,2,8072,8072,240
NotifyUnicastIpAddressChange,IPHLPAPI.DLL,.text,128452,90f0,1,8072,8072,288
ConvertInterfaceIndexToLuid,IPHLPAPI.DLL,.text,128452,8f40,1,8072,8072,432
GetBestInterfaceEx,IPHLPAPI.DLL,.text,128452,8ef0,2,8072,8072,80
unnamedImageEntryPoint,IPHLPAPI.DLL,.text,128452,8ad0,2,8072,8072,1056
GetIfTable2,IPHLPAPI.DLL,.text,128452,1930,1,8072,8072,928
InternalGetIfEntry2,IPHLPAPI.DLL,.text,128452,1530,1,8072,8072,1024
GetIfEntry2,IPHLPAPI.DLL,.text,128452,1520,1,8072,8072,16
FreeMibTable,IPHLPAPI.DLL,.text,128452,10d0,1,8072,8072,1104
GetCurrentThreadCompartmentId,IPHLPAPI.DLL,.text,128452,1010,6,8072,8072,192
ASN1BEREncBool,MSASN1.dll,.text,44780,5700,4,8072,8072,160
ASN1BERDotVal2Eoid,MSASN1.dll,.text,44780,4e00,2,8072,8072,368
ASN1DEREncUTCTime,MSASN1.dll,.text,44780,4b70,4,8072,8072,656
ASN1BERDecUTF8String,MSASN1.dll,.text,44780,4a10,2,8072,8072,352
ASN1_CreateModule,MSASN1.dll,.text,44780,45e0,3,8072,8072,464
ASN1BEREoid2DotVal,MSASN1.dll,.text,44780,43a0,44,8072,8072,560
ASN1BERDecOpenType,MSASN1.dll,.text,44780,3b10,1,8072,8072,448
ASN1BERDecObjectIdentifier2,MSASN1.dll,.text,44780,3920,7,8072,8072,496
ASN1BERDecNull,MSASN1.dll,.text,44780,3880,2,8072,8072,160
ASN1BEREncEoid,MSASN1.dll,.text,44780,3810,10,8072,8072,112
ASN1BERDecCharString,MSASN1.dll,.text,44780,3660,94,8072,8072,432
ASN1BERDecUTCTime,MSASN1.dll,.text,44780,33d0,103,8072,8072,656
ASN1_SetEncoderOption,MSASN1.dll,.text,44780,3370,8,8072,8072,96
ASN1BEREncOpenType,MSASN1.dll,.text,44780,3320,12,8072,8072,80
ASN1BERDecCheck,MSASN1.dll,.text,44780,3280,13,8072,8072,160
ASN1BERDecBitString2,MSASN1.dll,.text,44780,3250,56,8072,8072,48
ASN1BERDecOctetString2,MSASN1.dll,.text,44780,3190,200,8072,8072,192
ASN1BERDecEoid,MSASN1.dll,.text,44780,3000,359,8072,8072,400
ASN1DecRealloc,MSASN1.dll,.text,44780,2fa0,148,8072,8072,96
ASN1BERDecOpenType2,MSASN1.dll,.text,44780,2ec0,233,8072,8072,224
ASN1DEREncBitString,MSASN1.dll,.text,44780,2eb0,2,8072,8072,16
ASN1BEREncBitString,MSASN1.dll,.text,44780,2e00,2,8072,8072,176
ASN1BEREncSX,MSASN1.dll,.text,44780,2d80,2,8072,8072,128
ASN1BEREncS32,MSASN1.dll,.text,44780,2cb0,2,8072,8072,208
ASN1BERDecGeneralizedTime,MSASN1.dll,.text,44780,2ab0,6,8072,8072,496
ASN1BEREncCharString,MSASN1.dll,.text,44780,27f0,12,8072,8072,704
ASN1DEREncOctetString,MSASN1.dll,.text,44780,27e0,8,8072,8072,16
ASN1_CreateEncoder,MSASN1.dll,.text,44780,26a0,2,8072,8072,304
ASN1BEREncExplicitTag,MSASN1.dll,.text,44780,25e0,28,8072,8072,192
ASN1BEREncEndOfContents,MSASN1.dll,.text,44780,25a0,28,8072,8072,64
ASN1BEREncFlush,MSASN1.dll,.text,44780,2570,8,8072,8072,48
ASN1_Encode,MSASN1.dll,.text,44780,2480,8,8072,8072,240
ASN1BEREncLength,MSASN1.dll,.text,44780,2410,32,8072,8072,112
ASN1BEREncTag,MSASN1.dll,.text,44780,22d0,32,8072,8072,320
ASN1EncSetError,MSASN1.dll,.text,44780,22b0,16,8072,8072,32
ASN1BERDecBool,MSASN1.dll,.text,44780,2230,64,8072,8072,128
ASN1BERDecSXVal,MSASN1.dll,.text,44780,20c0,72,8072,8072,368
ASN1BERDecU32Val,MSASN1.dll,.text,44780,2040,11,8072,8072,128
ASN1bitstring_free,MSASN1.dll,.text,44780,1fd0,5,8072,8072,32
ASN1BERDecZeroCharString,MSASN1.dll,.text,44780,1d70,109,8072,8072,608
ASN1BERDecS32Val,MSASN1.dll,.text,44780,1b30,48,8072,8072,576
ASN1_CreateDecoderEx,MSASN1.dll,.text,44780,1a50,2,8072,8072,224
ASN1_CreateDecoder,MSASN1.dll,.text,44780,1a20,2,8072,8072,48
ASN1BERDecTag,MSASN1.dll,.text,44780,1910,134,8072,8072,272
ASN1charstring_free,MSASN1.dll,.text,44780,1780,525,8072,8072,400
ASN1BERDecNotEndOfContents,MSASN1.dll,.text,44780,1750,492,8072,8072,48
ASN1BERDecEndOfContents,MSASN1.dll,.text,44780,16c0,848,8072,8072,144
ASN1BERDecPeekTag,MSASN1.dll,.text,44780,1630,1452,8072,8072,144
ASN1BERDecLength,MSASN1.dll,.text,44780,15a0,524,8072,8072,144
ASN1_FreeDecoded,MSASN1.dll,.text,44780,1520,176,8072,8072,128
ASN1_Decode,MSASN1.dll,.text,44780,1390,176,8072,8072,400
ASN1BERDecExplicitTag,MSASN1.dll,.text,44780,11b0,848,8072,8072,480
ASN1_FreeEncoded,MSASN1.dll,.text,44780,1110,8,8072,8072,80
ASN1ztcharstring_free,MSASN1.dll,.text,44780,1090,196,8072,8072,32
unnamedImageEntryPoint,MSASN1.dll,.text,44780,1010,2,8072,8072,128
CryptMemAlloc,CRYPT32.dll,.text,1201524,4b640,50,8072,8072,256
CryptMemFree,CRYPT32.dll,.text,1201524,4b620,52,8072,8072,32
I_CryptFindLruEntry,CRYPT32.dll,.text,1201524,4b560,6,8072,8072,96
CertFreeCertificateContext,CRYPT32.dll,.text,1201524,4ae10,12,8072,8072,112
CryptBinaryToStringW,CRYPT32.dll,.text,1201524,44af0,4,8072,8072,4576
CryptBinaryToStringA,CRYPT32.dll,.text,1201524,447d0,4,8072,8072,800
CryptSignAndEncodeCertificate,CRYPT32.dll,.text,1201524,44320,2,8072,8072,1200
CertCreateCRLContext,CRYPT32.dll,.text,1201524,43120,2,8072,8072,4608
CryptSignCertificate,CRYPT32.dll,.text,1201524,42e20,4,8072,8072,768
CertAddEncodedCertificateToStore,CRYPT32.dll,.text,1201524,3ffe0,2,8072,8072,128
CertNameToStrW,CRYPT32.dll,.text,1201524,3dfb0,4,8072,8072,8032
CryptEncodeObjectEx,CRYPT32.dll,.text,1201524,3da70,8,8072,8072,1344
CertAddSerializedElementToStore,CRYPT32.dll,.text,1201524,36750,1,8072,8072,1952
CryptHashCertificate,CRYPT32.dll,.text,1201524,363e0,10,8072,8072,880
CertSetCertificateContextProperty,CRYPT32.dll,.text,1201524,36220,2,8072,8072,448
CertDuplicateCertificateChain,CRYPT32.dll,.text,1201524,361c0,3,8072,8072,96
CryptEncodeObject,CRYPT32.dll,.text,1201524,35df0,2,8072,8072,976
CryptInstallOIDFunctionAddress,CRYPT32.dll,.text,1201524,318f0,5,8072,8072,17664
CryptInitOIDFunctionSet,CRYPT32.dll,.text,1201524,31820,10,8072,8072,208
CertCreateContext,CRYPT32.dll,.text,1201524,314a0,1,8072,8072,896
CertSetCRLContextProperty,CRYPT32.dll,.text,1201524,312e0,4,8072,8072,144
CertAddEncodedCRLToStore,CRYPT32.dll,.text,1201524,31080,2,8072,8072,608
CertEnumCTLsInStore,CRYPT32.dll,.text,1201524,2d300,3,8072,8072,15744
CertDuplicateCRLContext,CRYPT32.dll,.text,1201524,287f0,6,8072,8072,80
CertFindCertificateInCRL,CRYPT32.dll,.text,1201524,28780,2,8072,8072,112
CertVerifyRevocation,CRYPT32.dll,.text,1201524,28220,2,8072,8072,1376
CryptGetDefaultOIDFunctionAddress,CRYPT32.dll,.text,1201524,280c0,4,8072,8072,352
CryptGetDefaultOIDDllList,CRYPT32.dll,.text,1201524,28010,4,8072,8072,176
I_CryptCreateLruEntry,CRYPT32.dll,.text,1201524,261e0,7,8072,8072,3200
I_CryptInsertLruEntry,CRYPT32.dll,.text,1201524,26130,7,8072,8072,176
CryptHashCertificate2,CRYPT32.dll,.text,1201524,23b20,14,8072,8072,6816
CryptImportPublicKeyInfoEx2,CRYPT32.dll,.text,1201524,23210,4,8072,8072,2320
CryptHashToBeSigned,CRYPT32.dll,.text,1201524,22ae0,4,8072,8072,1840
CertGetPublicKeyLength,CRYPT32.dll,.text,1201524,22370,2,8072,8072,1904
CryptDecodeObject,CRYPT32.dll,.text,1201524,20880,36,8072,8072,6896
CertVerifyCertificateChainPolicy,CRYPT32.dll,.text,1201524,1ef70,2,8072,8072,6416
CertAddStoreToCollection,CRYPT32.dll,.text,1201524,1ec00,13,8072,8072,880
CertComparePublicKeyInfo,CRYPT32.dll,.text,1201524,1e750,3,8072,8072,1200
CryptMsgClose,CRYPT32.dll,.text,1201524,137d0,1,8072,8072,7408
CryptMsgUpdate,CRYPT32.dll,.text,1201524,11c80,3,8072,8072,6992
I_CryptSetTls,CRYPT32.dll,.text,1201524,103f0,1,8072,8072,5344
CryptVerifyCertificateSignatureEx,CRYPT32.dll,.text,1201524,c000,5,8072,8072,17392
CertGetCertificateChain,CRYPT32.dll,.text,1201524,9af0,1,8072,8072,9488
CryptImportPublicKeyInfoEx,CRYPT32.dll,.text,1201524,9930,3,8072,8072,448
CertFindExtension,CRYPT32.dll,.text,1201524,9810,27,8072,8072,288
CertDuplicateStore,CRYPT32.dll,.text,1201524,8f90,6,8072,8072,2176
CertDuplicateCertificateContext,CRYPT32.dll,.text,1201524,8f60,10,8072,8072,48
CertFreeCertificateChain,CRYPT32.dll,.text,1201524,8e50,2,8072,8072,272
CertGetCertificateContextProperty,CRYPT32.dll,.text,1201524,8b50,585,8072,8072,768
I_CryptGetAsn1Encoder,CRYPT32.dll,.text,1201524,87d0,10,8072,8072,896
CryptFindOIDInfo,CRYPT32.dll,.text,1201524,84d0,46,8072,8072,768
I_CryptGetDefaultCryptProv,CRYPT32.dll,.text,1201524,83b0,6,8072,8072,288
I_CryptGetAsn1Decoder,CRYPT32.dll,.text,1201524,8190,133,8072,8072,544
CryptDecodeObjectEx,CRYPT32.dll,.text,1201524,8000,135,8072,8072,400
CertEnumCertificatesInStore,CRYPT32.dll,.text,1201524,7db0,8,8072,8072,592
CertFreeCTLContext,CRYPT32.dll,.text,1201524,7cf0,6,8072,8072,192
I_CryptGetTls,CRYPT32.dll,.text,1201524,7cb0,12,8072,8072,64
CertControlStore,CRYPT32.dll,.text,1201524,7b00,100,8072,8072,432
CertOpenStore,CRYPT32.dll,.text,1201524,7350,110,8072,8072,1968
CertCloseStore,CRYPT32.dll,.text,1201524,72a0,122,8072,8072,176
CryptEnumOIDFunction,CRYPT32.dll,.text,1201524,5ab0,13,8072,8072,6128
I_CryptReadTrustedPublisherDWORDValueFromRegistry,CRYPT32.dll,.text,1201524,4690,3,8072,8072,2880
CryptFreeOIDFunctionAddress,CRYPT32.dll,.text,1201524,4550,28,8072,8072,320
CryptGetOIDFunctionAddress,CRYPT32.dll,.text,1201524,3f10,50,8072,8072,1600
I_CertDiagControl,CRYPT32.dll,.text,1201524,3e50,15,8072,8072,192
I_CryptInstallAsn1Module,CRYPT32.dll,.text,1201524,3c80,1,8072,8072,464
I_CryptCreateLruCache,CRYPT32.dll,.text,1201524,3c00,12,8072,8072,128
I_CryptAllocTls,CRYPT32.dll,.text,1201524,1ac0,11,8072,8072,4000
Ordinal_1001,CRYPT32.dll,.text,1201524,18b0,5,8072,8072,288
unnamedImageEntryPoint,CRYPT32.dll,.text,1201524,1230,6,8072,8072,1664
.text,CRYPT32.dll,.text,1201524,1000,6,8072,8072,560
NSPStartup,mswsock.dll,.text,227480,a530,1,8072,8072,4848
WSPStartup,mswsock.dll,.text,227480,9020,2,8072,8072,5392
Tcpip4_WSHAddressToString,mswsock.dll,.text,227480,7650,3,8072,8072,176
Tcpip4_WSHOpenSocket2,mswsock.dll,.text,227480,3ee0,2,8072,8072,14192
Tcpip6_WSHOpenSocket2,mswsock.dll,.text,227480,3ce0,3,8072,8072,512
Tcpip6_WSHGetSocketInformation,mswsock.dll,.text,227480,3c90,8,8072,8072,80
Tcpip4_WSHGetSocketInformation,mswsock.dll,.text,227480,2d30,22,8072,8072,3936
Tcpip4_WSHGetSockaddrType,mswsock.dll,.text,227480,1b20,1,8072,8072,464
unnamedImageEntryPoint,mswsock.dll,.text,227480,10b0,6,8072,8072,2672
.text,mswsock.dll,.text,227480,1000,61,8072,8072,176
WinHttpGetProxyForUrlEx,winhttp.dll,.text,697464,2a780,1,8072,8072,3680
WinHttpFreeProxyResult,winhttp.dll,.text,697464,2a700,2,8072,8072,128
WinHttpCreateProxyResolver,winhttp.dll,.text,697464,2a530,1,8072,8072,464
WinHttpSetStatusCallback,winhttp.dll,.text,697464,10410,1,8072,8072,15680
WinHttpOpen,winhttp.dll,.text,697464,e770,1,8072,8072,5328
WinHttpCrackUrl,winhttp.dll,.text,697464,d080,1,8072,8072,5872
WinHttpCreateUrl,winhttp.dll,.text,697464,b880,2,8072,8072,6144
WinHttpCloseHandle,winhttp.dll,.text,697464,9bd0,1,8072,8072,7344
unnamedImageEntryPoint,winhttp.dll,.text,697464,12e0,7,8072,8072,35056
.text,winhttp.dll,.text,697464,1000,7,8072,8072,736
GetCurrentApplicationUserModelId,kernel.appcore.dll,.text,12552,28c0,1,8072,8072,16
unnamedImageEntryPoint,kernel.appcore.dll,.text,12552,1940,7,8072,8072,96
unnamedImageEntryPoint,ondemandconnroutehelper.dll,.text,24418,5410,7,8072,8072,6704
OnDemandRegisterNotification,ondemandconnroutehelper.dll,.text,24418,2270,1,8072,8072,176
OnDemandGetRoutingHint,ondemandconnroutehelper.dll,.text,24418,21d0,3,8072,8072,160
NsiFreeTable,NSI.dll,.text,9004,1af0,1,8072,8072,208
NsiAllocateAndGetTable,NSI.dll,.text,9004,1740,1,8072,8072,944
NsiGetParameter,NSI.dll,.text,9004,1500,3,8072,8072,352
NsiGetAllParameters,NSI.dll,.text,9004,1380,9,8072,8072,384
unnamedImageEntryPoint,NSI.dll,.text,9004,1280,2,8072,8072,256
WahOpenApcHelper,WS2_32.dll,.text,253580,10990,1,8072,8072,2416
WahCreateHandleContextTable,WS2_32.dll,.text,253580,ecd0,3,8072,8072,7360
WSCEnumProtocols,WS2_32.dll,.text,253580,d5c0,2,8072,8072,1632
WSCEnumProtocolsEx,WS2_32.dll,.text,253580,d3e0,2,8072,8072,480
GetAddrInfoExOverlappedResult,WS2_32.dll,.text,253580,a7f0,1,8072,8072,48
GetAddrInfoExW,WS2_32.dll,.text,253580,87e0,1,8072,8072,8208
WSALookupServiceEnd,WS2_32.dll,.text,253580,7970,2,8072,8072,3696
WSASocketA,WS2_32.dll,.text,253580,7400,1,8072,8072,1392
getpeername,WS2_32.dll,.text,253580,7350,1,8072,8072,176
getsockopt,WS2_32.dll,.text,253580,7200,1,8072,8072,336
getnameinfo,WS2_32.dll,.text,253580,70d0,3,8072,8072,304
GetNameInfoW,WS2_32.dll,.text,253580,6fa0,3,8072,8072,304
WSAAddressToStringW,WS2_32.dll,.text,253580,6de0,3,8072,8072,448
WSALookupServiceBeginW,WS2_32.dll,.text,253580,4aa0,2,8072,8072,3216
WSAStartup,WS2_32.dll,.text,253580,3eb0,3,8072,8072,896
bind,WS2_32.dll,.text,253580,3df0,1,8072,8072,192
setsockopt,WS2_32.dll,.text,253580,3c80,8,8072,8072,368
socket,WS2_32.dll,.text,253580,3bd0,3,8072,8072,176
WSASocketW,WS2_32.dll,.text,253580,3880,5,8072,8072,848
WahInsertHandleContext,WS2_32.dll,.text,253580,37f0,10,8072,8072,144
WSARecv,WS2_32.dll,.text,253580,2ff0,7,8072,8072,2048
WSASend,WS2_32.dll,.text,253580,2d60,4,8072,8072,480
ioctlsocket,WS2_32.dll,.text,253580,27a0,2,8072,8072,464
recv,WS2_32.dll,.text,253580,2570,1,8072,8072,560
WSASetLastError,WS2_32.dll,.text,253580,2400,3,8072,8072,368
WSACleanup,WS2_32.dll,.text,253580,22c0,1,8072,8072,208
WahOpenCurrentThread,WS2_32.dll,.text,253580,2210,3,8072,8072,176
getsockname,WS2_32.dll,.text,253580,1e40,2,8072,8072,368
closesocket,WS2_32.dll,.text,253580,1be0,3,8072,8072,608
WahRemoveHandleContext,WS2_32.dll,.text,253580,1af0,4,8072,8072,240
WSAIoctl,WS2_32.dll,.text,253580,1480,5,8072,8072,496
WahReferenceContextByHandle,WS2_32.dll,.text,253580,12c0,30,8072,8072,400
WSAGetLastError,WS2_32.dll,.text,253580,1290,6,8072,8072,32
ntohs,WS2_32.dll,.text,253580,1280,12,8072,8072,16
unnamedImageEntryPoint,WS2_32.dll,.text,253580,10b0,7,8072,8072,464
SHRegGetValueA,SHCORE.dll,.text,625716,2dad0,1,8072,8072,816
SHGetValueA,SHCORE.dll,.text,625716,2da90,1,8072,8072,64
SHRegGetValueW,SHCORE.dll,.text,625716,41c0,2,8072,8072,1312
Ordinal_200,SHCORE.dll,.text,625716,2910,3,8072,8072,1200
Ordinal_190,SHCORE.dll,.text,625716,2040,6,8072,8072,688
SHGetValueW,SHCORE.dll,.text,625716,1920,6,8072,8072,912
Ordinal_130,SHCORE.dll,.text,625716,14f0,48,8072,8072,272
unnamedImageEntryPoint,SHCORE.dll,.text,625716,10b0,7,8072,8072,784
Ordinal_471,SHLWAPI.dll,.text,283440,3020,5,8072,8072,1184
unnamedImageEntryPoint,SHLWAPI.dll,.text,283440,22e0,2,8072,8072,3392
Ordinal_635,SHLWAPI.dll,.text,283440,1f40,6,8072,8072,528
SHRegQueryInfoUSKeyW,SHLWAPI.dll,.text,283440,1490,2,8072,8072,16
SHRegEnumUSValueW,SHLWAPI.dll,.text,283440,1480,8,8072,8072,16
SHRegCreateUSKeyW,SHLWAPI.dll,.text,283440,1460,1,8072,8072,32
SHRegWriteUSValueW,SHLWAPI.dll,.text,283440,1450,8,8072,8072,16
.text,SHLWAPI.dll,.text,283440,1000,7,8072,8072,48
StringFromGUID2,combase.dll,.text,1731668,6c990,11,8072,8072,544
CleanupOleStateInAllTls,combase.dll,.text,1731668,48030,1,8072,8072,112
