Current process id = 4372
create process: getpid(): 4372, getCurrentProcessId(): 4372
In Child: PID: 5624 getpid(): 4372
Current process id = 5624
fork: getpid(): 5624, getCurrentProcessId(): 5624
In Child: PID: 4364 getpid(): 5624
Current process id = 4364
In Child: PID: 3832 getpid(): 5624
Current process id = 3832
test2: getpid(): 4364, getCurrentProcessId(): 4364
test: getpid(): 3832, getCurrentProcessId(): 3832
Hello World!
Procedure,Image,Section Name,Section Size,Offset,Calls,Pid,Size
wcsrchr,ntdll.dll,.text,1222784,87440,2,4364,64
strrchr,ntdll.dll,.text,1222784,86650,19,4364,48
bsearch,ntdll.dll,.text,1222784,83fb0,6,4364,272
_wcsnicmp,ntdll.dll,.text,1222784,83800,85,4364,96
_strnicmp,ntdll.dll,.text,1222784,832d0,18,4364,16
RtlInitOutOfProcessMemoryStream,ntdll.dll,.text,1222784,82260,24,4364,32
RtlQueryAtomInAtomTable,ntdll.dll,.text,1222784,7ebb0,14,4364,960
RtlGetNtVersionNumbers,ntdll.dll,.text,1222784,72ef0,1,4364,240
RtlUserThreadStart,ntdll.dll,.text,1222784,70390,1,4364,112
RtlAcquirePebLock,ntdll.dll,.text,1222784,70010,2,4364,32
RtlReleasePebLock,ntdll.dll,.text,1222784,6f950,2,4364,32
LdrGetDllHandleByName,ntdll.dll,.text,1222784,6e2c0,1,4364,160
LdrGetDllFullName,ntdll.dll,.text,1222784,6bba0,1,4364,208
RtlSetCriticalSectionSpinCount,ntdll.dll,.text,1222784,69f50,3,4364,336
RtlEncodePointer,ntdll.dll,.text,1222784,68cc0,29,4364,80
LdrGetProcedureAddress,ntdll.dll,.text,1222784,68b40,2,4364,48
RtlInitAnsiStringEx,ntdll.dll,.text,1222784,66570,14,4364,560
LdrpResGetMappingSize,ntdll.dll,.text,1222784,663a0,2,4364,448
LdrResSearchResource,ntdll.dll,.text,1222784,660c0,2,4364,736
LdrResFindResourceDirectory,ntdll.dll,.text,1222784,66030,2,4364,144
RtlUnicodeToMultiByteN,ntdll.dll,.text,1222784,64900,15,4364,576
RtlUnicodeStringToAnsiString,ntdll.dll,.text,1222784,64800,15,4364,256
RtlQueryPerformanceCounter,ntdll.dll,.text,1222784,64790,1,4364,112
RtlInitializeCriticalSection,ntdll.dll,.text,1222784,61600,4,4364,144
